DEBUG 2026-04-29 22:40:56,632 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\handlers\exception.py first seen with mtime 1776481033.7568898
DEBUG 2026-04-29 22:40:56,633 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\encodings\cp1253.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,633 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\urllib3\util\wait.py first seen with mtime 1777080108.615199
DEBUG 2026-04-29 22:40:56,633 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\views\i18n.py first seen with mtime 1776481034.4517455
DEBUG 2026-04-29 22:40:56,633 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\models\sql\__init__.py first seen with mtime 1776481034.0349562
DEBUG 2026-04-29 22:40:56,634 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\DLLs\_ssl.pyd first seen with mtime 1696271230.0
DEBUG 2026-04-29 22:40:56,634 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\auth\forms.py first seen with mtime 1776481029.3173993
DEBUG 2026-04-29 22:40:56,634 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\contrib\postgres\fields\utils.py first seen with mtime 1776481031.2958066
DEBUG 2026-04-29 22:40:56,634 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\checks\security\__init__.py first seen with mtime 1776481033.719778
DEBUG 2026-04-29 22:40:56,635 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\models\query.py first seen with mtime 1776481033.9907625
DEBUG 2026-04-29 22:40:56,635 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\email\_encoded_words.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,635 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_text.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,635 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\subprocess.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,636 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\requests\exceptions.py first seen with mtime 1777080112.0017104
DEBUG 2026-04-29 22:40:56,636 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\db\migrations\graph.py first seen with mtime 1776481033.9344032
DEBUG 2026-04-29 22:40:56,636 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\asyncio\format_helpers.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,637 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\drf_spectacular\contrib\rest_polymorphic.py first seen with mtime 1776736468.4323878
DEBUG 2026-04-29 22:40:56,637 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\socketserver.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,637 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\wsgiref\handlers.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,637 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\core\management\base.py first seen with mtime 1776481033.7856996
DEBUG 2026-04-29 22:40:56,638 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\tokenize.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,638 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\unittest\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,638 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\django\views\debug.py first seen with mtime 1776481034.4507465
DEBUG 2026-04-29 22:40:56,638 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\http\cookiejar.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,639 autoreload File C:\Users\usuario\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py first seen with mtime 1696271158.0
DEBUG 2026-04-29 22:40:56,640 autoreload File D:\TECSUP\Codigo-Python-Online-G30\Tema06 - Django\Clase19_13-04-2026\django_barbershop\entorno_django\Lib\site-packages\rest_framework_simplejwt\token_blacklist\__init__.py first seen with mtime 1777509174.5187232
